"Database Tools","Debug","Ctrl+Alt+D","Editing SQL"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Database Tools","Execute Selected Text","Alt+X","Editing SQL"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing JavaScript Source"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Spy","Plug-in Spy","Shift+Alt+F2","In Dialogs and Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Run/Debug","Step Over","F6","Debugging"
"File","Save","Ctrl+S","In Windows"
"ASA 9.x table schema editor","Cut","Alt+X","In Windows"
"Refactor - JavaScript","Show Refactor Quick Menu","Shift+Alt+T","JavaScript View"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing JavaScript Source"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Web Page Editor Layout","Graphical Designer","Shift+Ctrl+F11","Using Web Page Editor"
"Edit","Delete","Delete","In Windows"
"Server","Run","Ctrl+Alt+R","In Servers View"
"Terminal view commands","Terminal view insert","Alt+R","Terminal widget context"
"Search","References in Workspace","Shift+Ctrl+G","JavaScript View"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Text Editing","Line Start","Home","Editing Text"
"Views","Show View (View: Outline)","Shift+Alt+Q O","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"File","Print","Ctrl+P","In Windows"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Server","Publish","Ctrl+Alt+P","In Servers View"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","JavaScript View"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Edit","Move","Shift+Alt+V","Editing JSP Source"
"Views","Show View (View: Problems)","Shift+Alt+Q X","In Windows"
"File","Rename","F2","In Windows"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Web Page Editor Layout","Horizontal Layout","Shift+Ctrl+F10","Using Web Page Editor"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Spy","Plug-in Spy","Shift+Alt+F1","In Dialogs and Windows"
"File","Properties","Alt+Enter","In Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Edit","Word Completion","Alt+/","Editing Text"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Text Editing","Line End","End","Editing Text"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Views","Show View (View: Breakpoints)","Shift+Alt+Q B","In Windows"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Source","Add Block Comment","Shift+Ctrl+/","Editing JavaScript Source"
"EMF Code Generation","Generate Code","Shift+Alt+G","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"File","Save All","Shift+Ctrl+S","In Windows"
"Edit","Occurrences in File","Shift+Ctrl+A","Editing in Structured Text Editors"
"Edit","Add Block Comment","Shift+Ctrl+/","Editing in Structured Text Editors"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"Task","Mark Task Incomplete","Shift+Alt+I","In Tasks Editor"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Edit","Toggle Comment","Ctrl+/","Editing SQL"
"File","Close","Ctrl+F4","In Windows"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Views","Show View (View: Search)","Shift+Alt+Q S","In Windows"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Views","Show View (View: History)","Shift+Alt+Q Z","In Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"File","Close","Ctrl+W","In Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Task","Mark Task Complete","Shift+Alt+C","In Tasks View"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing JavaScript Source"
"Views","Show View (View: Console)","Shift+Alt+Q C","In Windows"
"Server","Debug","Ctrl+Alt+D","In Servers View"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Source","Toggle Comment","Esc Ctrl+C","Editing Java Source"
"Navigate","Open Remote Task","Shift+Ctrl+Alt+F12","In Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing JavaScript Source"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","JavaScript View"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Views","Show View (View: Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Views","Show View (View: Synchronize)","Shift+Alt+Q Y","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Help","Close User Assistance Tray","Ctrl+W","In Dialogs"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Edit","Remove Block Comment","Shift+Ctrl+\","Editing in Structured Text Editors"
"File","New menu","Shift+Alt+N","In Windows"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Navigate","Open Plug-in Artifact","Shift+Ctrl+A","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Run/Debug","Debug OSGi Framework","Shift+Alt+D O","In Windows"
"Views","Show View (View: )","Shift+Alt+Q T","In Windows"
"Task","Mark Task Read and Go To Previous Unread Task","Shift+Alt+Up","In Tasks View"
"Source","Toggle Comment","Shift+Ctrl+C","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","Alt+G","Terminal widget context"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"ASA 9.x table schema editor","Copy","Alt+C","In Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"Source","Format","Esc Ctrl+F","Editing Ant Buildfiles"
"WikiText Markup Editing Commands","Display Cheat Seet Command","F1","WikiText Markup Source Context"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"Views","Show View (View: Task List)","Shift+Alt+Q K","In Windows"
"Window","Activate Editor","F12","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"ASA 9.x table schema editor","Paste","Alt+V","In Windows"
"Source","Toggle Comment","Esc Ctrl+C","Editing JavaScript Source"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
